OLD PROCEDURE: Removing passenger with lastname Macdonald, row 18, and priority value 318
NEW PROCEDURE: Removing passenger with lastname Albert, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Clemons, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Rosales, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Rutledge, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Emerson, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Sweet, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Macias, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Kaufman, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cash, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Carney, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Head, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Sargent, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Barron, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Forbes, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Boyle, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cervantes, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Whitley, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Henson, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Merritt, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Preston, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hickman, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Conway, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Foley, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Ashley, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Best, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Blevins, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname William, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Villarreal, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Lara, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Faulkner, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Huber, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Fuentes, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cabrera, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Osborn, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bernard, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pickett, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Haney, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bonner, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Ewing, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Stark, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Browning, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Baird, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcintyre, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Sharpe, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dunlap, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Holcomb, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cooke, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Wooten, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Knowles, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Slater, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Rojas, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mckee, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Chan, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Kane, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Conrad, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Chang, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Franco, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Juarez, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mckay, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Chen, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Salas, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Weeks, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hooper, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hatfield, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pace, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Jacobson, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Zamora, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Carver, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Everett, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcintosh, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Spears, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bender, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Calderon, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Whitfield, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pennington, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Wilder, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Justice, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Fry, row 2, and priority value 150
NEW PROCEDURE: Total time taken: 58.60 minutes
