OLD PROCEDURE: Removing passenger with lastname Delacruz, row 22, and priority value 322
NEW PROCEDURE: Removing passenger with lastname Hewitt, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bolton, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcmillan, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcknight, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Madden, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Burt, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Daugherty, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dotson, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Langley, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Le, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Knapp, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Meadows, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Merrill, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Huber, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Riggs, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Avery, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Workman, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bond, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Waller, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cardenas, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Byers, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hoover, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Barrera, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cantu, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Buckner, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Shields, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Key, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Gillespie, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cleveland, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Calhoun, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mooney, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Gamble, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Woodard, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Orr, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pacheco, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hickman, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Conway, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Maynard, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Juarez, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Villarreal, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Lara, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pace, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mckee, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Rosario, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Everett, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Lester, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Barron, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Spears, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hatfield, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pennington, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Solomon, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Nolan, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Haley, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Potts, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Berg, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Oneill, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Farrell, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Horne, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Donaldson, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Barry, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Ellison, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Battle, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Miranda, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Case, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Stout, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dillon, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Osborn, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Franco, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dunlap, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Ewing, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Stark, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Calderon, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Fry, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Guy, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dillard, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Frye, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Alford, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cote, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Craft, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Spence, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bright, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Kinney, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Conrad, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Justice, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Irwin, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Beach, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Good, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname England, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Haney, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bird, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Oneil, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Gilliam, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcmahon, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Noel, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Grimes, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mosley, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Shepard, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Petersen, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Olsen, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Deleon, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Henson, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Merritt, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Rojas, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cline, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hyde, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcintosh, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcleod, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Strong, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Vang, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Giles, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Santana, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Brennan, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Richmond, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Walter, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mccall, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Farley, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Weeks, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcneil, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pruitt, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mckay, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Carrillo, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname David, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Wilkinson, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Duran, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Beard, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Preston, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hurst, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Petty, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Witt, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Chang, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dejesus, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cooke, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Wyatt, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Guerra, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Carey, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Vance, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Goff, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Morin, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname English, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hester, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Russo, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Peck, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Holden, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hendrix, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Stein, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Tanner, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Downs, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Nielsen, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Decker, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Nixon, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Puckett, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Chen, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Reilly, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Browning, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hahn, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hull, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cervantes, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Leon, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Barlow, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Winters, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Prince, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcfarland, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Yang, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Rowland, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Whitney, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Noble, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hurley, row 10, and priority value 150
NEW PROCEDURE: Total time taken: 72.15 minutes
